title,cast,crew
Black Mass,"[{'cast_id': 0, 'character': ""James 'Whitey' Bulger"", 'credit_id': '5330579ec3a3685fbb006b13', 'gender': 2, 'id': 85, 'name': 'Johnny Depp', 'order': 0}, {'cast_id': 1, 'character': 'John Connolly', 'credit_id': '533057a8c3a3685fac006ad2', 'gender': 2, 'id': 33192, 'name': 'Joel Edgerton', 'order': 1}, {'cast_id': 10, 'character': 'Billy Bulger', 'credit_id': '537e2074c3a368059200159d', 'gender': 2, 'id': 71580, 'name': 'Benedict Cumberbatch', 'order': 2}]","[{'credit_id': '56684b69c3a36836ac0033dd', 'department': 'Sound', 'gender': 2, 'id': 8376, 'job': 'Sound Re-Recording Mixer', 'name': 'Mark A. Mangini'}, {'credit_id': '56684b729251417411002e62', 'department': 'Sound', 'gender': 2, 'id': 8376, 'job': 'Supervising Sound Editor', 'name': 'Mark A. Mangini'}, {'credit_id': '56f08475c3a368718e000cbf', 'department': 'Production', 'gender': 1, 'id': 6410, 'job': 'Casting', 'name': 'Francine Maisler'}]"
Flags of Our Fathers,"[{'cast_id': 7, 'character': ""John 'Doc' Bradley"", 'credit_id': '52fe43a2c3a36847f80637a7', 'gender': 2, 'id': 11864, 'name': 'Ryan Phillippe', 'order': 0}, {'cast_id': 8, 'character': 'Corporal Ira Hayes', 'credit_id': '52fe43a2c3a36847f80637ab', 'gender': 2, 'id': 33527, 'name': 'Adam Beach', 'order': 1}, {'cast_id': 9, 'character': 'Corporal Rene Gagnon', 'credit_id': '52fe43a2c3a36847f80637af', 'gender': 2, 'id': 17772, 'name': 'Jesse Bradford', 'order': 2}]","[{'credit_id': '52fe43a2c3a36847f80637e9', 'department': 'Writing', 'gender': 2, 'id': 142, 'job': 'Screenplay', 'name': 'William Broyles Jr.'}, {'credit_id': '52fe43a2c3a36847f8063785', 'department': 'Directing', 'gender': 2, 'id': 190, 'job': 'Director', 'name': 'Clint Eastwood'}, {'credit_id': '52fe43a2c3a36847f8063797', 'department': 'Production', 'gender': 2, 'id': 190, 'job': 'Producer', 'name': 'Clint Eastwood'}]"
Law Abiding Citizen,"[{'cast_id': 4, 'character': 'Nick Rice', 'credit_id': '52fe4450c3a368484e01c135', 'gender': 2, 'id': 134, 'name': 'Jamie Foxx', 'order': 0}, {'cast_id': 3, 'character': 'Clyde Alexander Shelton', 'credit_id': '52fe4450c3a368484e01c131', 'gender': 2, 'id': 17276, 'name': 'Gerard Butler', 'order': 1}, {'cast_id': 6, 'character': 'Detective Dunnigan', 'credit_id': '52fe4450c3a368484e01c13d', 'gender': 2, 'id': 17782, 'name': 'Colm Meaney', 'order': 2}]","[{'credit_id': '540642c10e0a2658d800d7ba', 'department': 'Editing', 'gender': 2, 'id': 8219, 'job': 'Editor', 'name': 'Tariq Anwar'}, {'credit_id': '5668ccc5c3a36836a3004316', 'department': 'Production', 'gender': 2, 'id': 1593, 'job': 'Casting', 'name': 'Joseph Middleton'}, {'credit_id': '5668cd04c3a3683697004297', 'department': 'Art', 'gender': 0, 'id': 4909, 'job': 'Set Decoration', 'name': 'Chryss Hionis'}]"
Grindhouse,"[{'cast_id': 3, 'character': 'Stuntman Mike (segment ""Death Proof"")', 'credit_id': '53ff9f24c3a3684369000525', 'gender': 2, 'id': 6856, 'name': 'Kurt Russell', 'order': 1}, {'cast_id': 4, 'character': 'Herself (segment ""Death Proof"")', 'credit_id': '53ff9f37c3a368436c0004fe', 'gender': 1, 'id': 20494, 'name': 'Zoë Bell', 'order': 2}, {'cast_id': 5, 'character': 'Abernathy (segment ""Death Proof"")', 'credit_id': '53ff9f4ac3a368437200050b', 'gender': 1, 'id': 5916, 'name': 'Rosario Dawson', 'order': 3}]","[{'credit_id': '54004dc7c3a3684372001354', 'department': 'Directing', 'gender': 0, 'id': 2294, 'job': 'Director', 'name': 'Robert Rodriguez'}, {'credit_id': '558f2112c3a3685d4500085e', 'department': 'Writing', 'gender': 0, 'id': 2294, 'job': 'Writer', 'name': 'Robert Rodriguez'}, {'credit_id': '56215687c3a3680e0e00956f', 'department': 'Sound', 'gender': 0, 'id': 2294, 'job': 'Music', 'name': 'Robert Rodriguez'}]"
Beloved,"[{'cast_id': 1, 'character': 'Sethe', 'credit_id': '52fe47199251416c91069f31', 'gender': 1, 'id': 13309, 'name': 'Oprah Winfrey', 'order': 0}, {'cast_id': 2, 'character': 'Paul D Garner', 'credit_id': '52fe47199251416c91069f35', 'gender': 2, 'id': 2047, 'name': 'Danny Glover', 'order': 1}, {'cast_id': 3, 'character': 'Beloved', 'credit_id': '52fe47199251416c91069f39', 'gender': 1, 'id': 9030, 'name': 'Thandie Newton', 'order': 2}]","[{'credit_id': '52fe47199251416c91069f5f', 'department': 'Costume & Make-Up', 'gender': 0, 'id': 557, 'job': 'Costume Design', 'name': 'Colleen Atwood'}, {'credit_id': '584dc04d92514118e00022ee', 'department': 'Writing', 'gender': 2, 'id': 2163, 'job': 'Writer', 'name': 'Richard LaGravenese'}, {'credit_id': '563bb44a9251416d520168f2', 'department': 'Sound', 'gender': 1, 'id': 3562, 'job': 'Music', 'name': 'Rachel Portman'}]"
Lucky You,"[{'cast_id': 4, 'character': 'Huck Cheever', 'credit_id': '52fe4325c3a36847f803dd75', 'gender': 2, 'id': 8783, 'name': 'Eric Bana', 'order': 0}, {'cast_id': 5, 'character': 'Billie Offer', 'credit_id': '52fe4325c3a36847f803dd79', 'gender': 1, 'id': 69597, 'name': 'Drew Barrymore', 'order': 1}, {'cast_id': 6, 'character': 'L. C. Cheever', 'credit_id': '52fe4325c3a36847f803dd7d', 'gender': 2, 'id': 3087, 'name': 'Robert Duvall', 'order': 2}]","[{'credit_id': '52fe4325c3a36847f803dd71', 'department': 'Writing', 'gender': 2, 'id': 27, 'job': 'Screenplay', 'name': 'Eric Roth'}, {'credit_id': '568e8ffa9251416b52002dc3', 'department': 'Writing', 'gender': 2, 'id': 27, 'job': 'Story', 'name': 'Eric Roth'}, {'credit_id': '52fe4325c3a36847f803dd65', 'department': 'Directing', 'gender': 2, 'id': 323, 'job': 'Director', 'name': 'Curtis Hanson'}]"
Catch Me If You Can,"[{'cast_id': 23, 'character': 'Frank Abagnale Jr.', 'credit_id': '52fe4263c3a36847f801a63f', 'gender': 2, 'id': 6193, 'name': 'Leonardo DiCaprio', 'order': 0}, {'cast_id': 24, 'character': 'Carl Hanratty', 'credit_id': '52fe4263c3a36847f801a643', 'gender': 2, 'id': 31, 'name': 'Tom Hanks', 'order': 1}, {'cast_id': 25, 'character': 'Frank Abagnale', 'credit_id': '52fe4263c3a36847f801a647', 'gender': 2, 'id': 4690, 'name': 'Christopher Walken', 'order': 2}]","[{'credit_id': '589c8190c3a3686e280065c9', 'department': 'Sound', 'gender': 2, 'id': 491, 'job': 'Music', 'name': 'John Williams'}, {'credit_id': '52fe4263c3a36847f801a61d', 'department': 'Production', 'gender': 1, 'id': 495, 'job': 'Casting', 'name': 'Debra Zane'}, {'credit_id': '52fe4262c3a36847f801a5c3', 'department': 'Directing', 'gender': 2, 'id': 488, 'job': 'Director', 'name': 'Steven Spielberg'}]"
Zero Dark Thirty,"[{'cast_id': 4, 'character': 'Maya', 'credit_id': '52fe49e89251416c750d7415', 'gender': 1, 'id': 83002, 'name': 'Jessica Chastain', 'order': 0}, {'cast_id': 38, 'character': 'Dan', 'credit_id': '52fe49e89251416c750d748f', 'gender': 2, 'id': 76512, 'name': 'Jason Clarke', 'order': 1}, {'cast_id': 3, 'character': 'George', 'credit_id': '52fe49e89251416c750d7411', 'gender': 2, 'id': 2983, 'name': 'Mark Strong', 'order': 2}]","[{'credit_id': '538d99270e0a266712006053', 'department': 'Editing', 'gender': 0, 'id': 15841, 'job': 'Editor', 'name': 'William Goldenberg'}, {'credit_id': '538d99380e0a26670e00610b', 'department': 'Editing', 'gender': 2, 'id': 1809, 'job': 'Editor', 'name': 'Dylan Tichenor'}, {'credit_id': '538d99800e0a266702006077', 'department': 'Production', 'gender': 2, 'id': 2073, 'job': 'Casting', 'name': 'Gail Stevens'}]"
The Break-Up,"[{'cast_id': 1, 'character': 'Gary Grobowski', 'credit_id': '52fe4529c3a36847f80bfc15', 'gender': 2, 'id': 4937, 'name': 'Vince Vaughn', 'order': 0}, {'cast_id': 2, 'character': 'Brooke Meyers', 'credit_id': '52fe4529c3a36847f80bfc19', 'gender': 1, 'id': 4491, 'name': 'Jennifer Aniston', 'order': 1}, {'cast_id': 3, 'character': 'Addie', 'credit_id': '52fe4529c3a36847f80bfc1d', 'gender': 1, 'id': 16484, 'name': 'Joey Lauren Adams', 'order': 2}]","[{'credit_id': '52fe4529c3a36847f80bfc6b', 'department': 'Sound', 'gender': 2, 'id': 312, 'job': 'Music', 'name': 'Jon Brion'}, {'credit_id': '52fe4529c3a36847f80bfc83', 'department': 'Production', 'gender': 2, 'id': 4937, 'job': 'Producer', 'name': 'Vince Vaughn'}, {'credit_id': '52fe4529c3a36847f80bfc95', 'department': 'Writing', 'gender': 2, 'id': 4937, 'job': 'Story', 'name': 'Vince Vaughn'}]"
Mamma Mia!,"[{'cast_id': 6, 'character': 'Donna Sheridan', 'credit_id': '52fe446c9251416c7503427f', 'gender': 1, 'id': 5064, 'name': 'Meryl Streep', 'order': 0}, {'cast_id': 5, 'character': 'Sam Carmichael', 'credit_id': '52fe446c9251416c7503427b', 'gender': 2, 'id': 517, 'name': 'Pierce Brosnan', 'order': 1}, {'cast_id': 3, 'character': 'Sophie Sheridan', 'credit_id': '52fe446c9251416c75034273', 'gender': 1, 'id': 71070, 'name': 'Amanda Seyfried', 'order': 2}]","[{'credit_id': '52fe446c9251416c750342a5', 'department': 'Production', 'gender': 2, 'id': 31, 'job': 'Executive Producer', 'name': 'Tom Hanks'}, {'credit_id': '52fe446c9251416c750342d5', 'department': 'Editing', 'gender': 1, 'id': 11072, 'job': 'Editor', 'name': 'Lesley Walker'}, {'credit_id': '52fe446c9251416c750342b1', 'department': 'Production', 'gender': 2, 'id': 8401, 'job': 'Executive Producer', 'name': 'Mark Huffam'}]"
Valentine's Day,"[{'cast_id': 1, 'character': 'Morley Clarkson', 'credit_id': '52fe44eb9251416c910216d7', 'gender': 1, 'id': 56731, 'name': 'Jessica Alba', 'order': 0}, {'cast_id': 2, 'character': 'Kara Monahan', 'credit_id': '52fe44eb9251416c910216db', 'gender': 1, 'id': 10860, 'name': 'Jessica Biel', 'order': 1}, {'cast_id': 3, 'character': 'Holden Wilson', 'credit_id': '52fe44eb9251416c910216df', 'gender': 2, 'id': 51329, 'name': 'Bradley Cooper', 'order': 2}]","[{'credit_id': '52fe44ec9251416c91021721', 'department': 'Directing', 'gender': 2, 'id': 1201, 'job': 'Director', 'name': 'Garry Marshall'}, {'credit_id': '55bf6d6ec3a3686539006a1a', 'department': 'Camera', 'gender': 2, 'id': 1214, 'job': 'Director of Photography', 'name': 'Charles Minsky'}, {'credit_id': '55bf6ddcc3a3686526006644', 'department': 'Art', 'gender': 2, 'id': 1222, 'job': 'Production Design', 'name': 'Albert Brenner'}]"
The Dukes of Hazzard,"[{'cast_id': 1, 'character': 'Luke Duke', 'credit_id': '52fe4457c3a36847f8090595', 'gender': 2, 'id': 9656, 'name': 'Johnny Knoxville', 'order': 0}, {'cast_id': 2, 'character': 'Bo Duke', 'credit_id': '52fe4457c3a36847f8090599', 'gender': 2, 'id': 57599, 'name': 'Seann William Scott', 'order': 1}, {'cast_id': 11, 'character': 'Daisy Duke', 'credit_id': '52fe4457c3a36847f80905c9', 'gender': 1, 'id': 52052, 'name': 'Jessica Simpson', 'order': 2}]","[{'credit_id': '52fe4457c3a36847f80905f5', 'department': 'Production', 'gender': 2, 'id': 2445, 'job': 'Executive Producer', 'name': 'Eric McLeod'}, {'credit_id': '52fe4457c3a36847f80905e9', 'department': 'Production', 'gender': 2, 'id': 1296, 'job': 'Executive Producer', 'name': 'Bruce Berman'}, {'credit_id': '52fe4457c3a36847f809060d', 'department': 'Production', 'gender': 1, 'id': 5914, 'job': 'Casting', 'name': 'Mary Vernieu'}]"
The Thin Red Line,"[{'cast_id': 30, 'character': '1st Sgt. Edward Welsh', 'credit_id': '52fe44b6c3a36847f80a5e9f', 'gender': 2, 'id': 2228, 'name': 'Sean Penn', 'order': 0}, {'cast_id': 6, 'character': 'Cpl. Geoffrey Fife', 'credit_id': '52fe44b6c3a36847f80a5e43', 'gender': 2, 'id': 3490, 'name': 'Adrien Brody', 'order': 1}, {'cast_id': 46, 'character': 'Pvt. Robert Witt', 'credit_id': '52fe44b6c3a36847f80a5ee1', 'gender': 2, 'id': 8767, 'name': 'Jim Caviezel', 'order': 2}]","[{'credit_id': '52fe44b6c3a36847f80a5e9b', 'department': 'Sound', 'gender': 2, 'id': 947, 'job': 'Original Music Composer', 'name': 'Hans Zimmer'}, {'credit_id': '537b6dfec3a3685e2200191c', 'department': 'Editing', 'gender': 2, 'id': 909, 'job': 'Editor', 'name': 'Billy Weber'}, {'credit_id': '52fe44b6c3a36847f80a5eb5', 'department': 'Production', 'gender': 1, 'id': 1221, 'job': 'Casting', 'name': 'Dianne Crittenden'}]"
The Change-Up,"[{'cast_id': 2, 'character': 'Sabrina McArdle', 'credit_id': '52fe4799c3a36847f813e555', 'gender': 1, 'id': 59315, 'name': 'Olivia Wilde', 'order': 0}, {'cast_id': 3, 'character': 'Mitch Planko', 'credit_id': '52fe4799c3a36847f813e559', 'gender': 2, 'id': 10859, 'name': 'Ryan Reynolds', 'order': 1}, {'cast_id': 4, 'character': 'Dave Lockwood', 'credit_id': '52fe4799c3a36847f813e55d', 'gender': 2, 'id': 23532, 'name': 'Jason Bateman', 'order': 2}]","[{'credit_id': '563f579cc3a3681b5e02ca2a', 'department': 'Production', 'gender': 1, 'id': 434, 'job': 'Casting', 'name': 'Lisa Beach'}, {'credit_id': '563f57af92514129fe020374', 'department': 'Production', 'gender': 1, 'id': 436, 'job': 'Casting', 'name': 'Sarah Katzman'}, {'credit_id': '563f573fc3a3681b5c030788', 'department': 'Sound', 'gender': 2, 'id': 4500, 'job': 'Music', 'name': 'John Debney'}]"
Man on the Moon,"[{'cast_id': 17, 'character': 'Andy Kaufman/Tony Clifton', 'credit_id': '52fe431ac3a36847f803a85d', 'gender': 2, 'id': 206, 'name': 'Jim Carrey', 'order': 0}, {'cast_id': 24, 'character': 'Lynne Margulies', 'credit_id': '52fe431ac3a36847f803a87b', 'gender': 1, 'id': 7621, 'name': 'Courtney Love', 'order': 1}, {'cast_id': 26, 'character': 'Jack Burns', 'credit_id': '52fe431ac3a36847f803a883', 'gender': 2, 'id': 25336, 'name': 'Bob Zmuda', 'order': 2}]","[{'credit_id': '52fe431ac3a36847f803a811', 'department': 'Production', 'gender': 2, 'id': 518, 'job': 'Producer', 'name': 'Danny DeVito'}, {'credit_id': '52fe431ac3a36847f803a877', 'department': 'Production', 'gender': 1, 'id': 6410, 'job': 'Casting', 'name': 'Francine Maisler'}, {'credit_id': '52fe431ac3a36847f803a853', 'department': 'Editing', 'gender': 1, 'id': 3394, 'job': 'Editor', 'name': 'Lynzee Klingman'}]"
Casino,"[{'cast_id': 4, 'character': ""Sam 'Ace' Rothstein"", 'credit_id': '52fe424dc3a36847f80139d1', 'gender': 2, 'id': 380, 'name': 'Robert De Niro', 'order': 0}, {'cast_id': 5, 'character': 'Ginger McKenna', 'credit_id': '52fe424dc3a36847f80139d5', 'gender': 1, 'id': 4430, 'name': 'Sharon Stone', 'order': 1}, {'cast_id': 6, 'character': 'Nicky Santoro', 'credit_id': '52fe424dc3a36847f80139d9', 'gender': 2, 'id': 4517, 'name': 'Joe Pesci', 'order': 2}]","[{'credit_id': '52fe424dc3a36847f8013a01', 'department': 'Camera', 'gender': 2, 'id': 149, 'job': 'Director of Photography', 'name': 'Robert Richardson'}, {'credit_id': '52fe424dc3a36847f8013a29', 'department': 'Writing', 'gender': 2, 'id': 1032, 'job': 'Screenplay', 'name': 'Martin Scorsese'}, {'credit_id': '52fe424dc3a36847f80139cd', 'department': 'Directing', 'gender': 2, 'id': 1032, 'job': 'Director', 'name': 'Martin Scorsese'}]"
From Paris with Love,"[{'cast_id': 3, 'character': 'Charlie Wax', 'credit_id': '52fe44ffc3a368484e042d21', 'gender': 2, 'id': 8891, 'name': 'John Travolta', 'order': 0}, {'cast_id': 4, 'character': 'James Reece', 'credit_id': '52fe44ffc3a368484e042d25', 'gender': 2, 'id': 1244, 'name': 'Jonathan Rhys Meyers', 'order': 1}, {'cast_id': 5, 'character': 'Caroline', 'credit_id': '52fe44ffc3a368484e042d29', 'gender': 1, 'id': 120832, 'name': 'Kasia Smutniak', 'order': 2}]","[{'credit_id': '5763f7b792514134cd00026b', 'department': 'Writing', 'gender': 2, 'id': 59, 'job': 'Story', 'name': 'Luc Besson'}, {'credit_id': '55210632c3a3684dc1003191', 'department': 'Art', 'gender': 2, 'id': 1966, 'job': 'Production Design', 'name': 'Jacques Bufnoir'}, {'credit_id': '5764204b9251410352000026', 'department': 'Visual Effects', 'gender': 0, 'id': 16369, 'job': 'Special Effects Supervisor', 'name': 'Philippe Hubin'}]"
Bulletproof Monk,"[{'cast_id': 11, 'character': 'Kar', 'credit_id': '52fe448b9251416c750387df', 'gender': 2, 'id': 57599, 'name': 'Seann William Scott', 'order': 0}, {'cast_id': 12, 'character': 'Jade', 'credit_id': '52fe448b9251416c750387e3', 'gender': 1, 'id': 5915, 'name': 'Jaime King', 'order': 1}, {'cast_id': 13, 'character': 'Strucker', 'credit_id': '52fe448b9251416c750387e7', 'gender': 2, 'id': 10841, 'name': 'Karel Roden', 'order': 2}]","[{'credit_id': '52fe448b9251416c750387cf', 'department': 'Sound', 'gender': 0, 'id': 996, 'job': 'Music', 'name': 'Eric Serra'}, {'credit_id': '52fe448b9251416c750387c3', 'department': 'Production', 'gender': 0, 'id': 282, 'job': 'Producer', 'name': 'Charles Roven'}, {'credit_id': '52fe448b9251416c750387d5', 'department': 'Camera', 'gender': 2, 'id': 1919, 'job': 'Director of Photography', 'name': 'Stefan Czapsky'}]"
"Me, Myself & Irene","[{'cast_id': 14, 'character': 'Off. Charlie Baileygates/Hank Evans', 'credit_id': '52fe4338c3a36847f8043759', 'gender': 2, 'id': 206, 'name': 'Jim Carrey', 'order': 0}, {'cast_id': 16, 'character': 'Irene P. Waters', 'credit_id': '52fe4338c3a36847f8043761', 'gender': 1, 'id': 9137, 'name': 'Renée Zellweger', 'order': 1}, {'cast_id': 17, 'character': 'Jamaal Baileygates', 'credit_id': '52fe4338c3a36847f8043765', 'gender': 2, 'id': 18471, 'name': 'Anthony Anderson', 'order': 2}]","[{'credit_id': '52fe4338c3a36847f8043749', 'department': 'Editing', 'gender': 2, 'id': 7414, 'job': 'Editor', 'name': 'Christopher Greenbury'}, {'credit_id': '55731a10c3a3686b7d001813', 'department': 'Production', 'gender': 2, 'id': 2691, 'job': 'Executive Producer', 'name': 'Tom Schulman'}, {'credit_id': '557319dec3a3686f58001b62', 'department': 'Production', 'gender': 2, 'id': 6114, 'job': 'Co-Producer', 'name': 'Marc S. Fischer'}]"
Barnyard,"[{'cast_id': 11, 'character': 'Daisy the Cow (voice)', 'credit_id': '52fe4545c3a36847f80c4d25', 'gender': 1, 'id': 14405, 'name': 'Courteney Cox', 'order': 0}, {'cast_id': 12, 'character': 'Otis the Cow (voice)', 'credit_id': '52fe4545c3a36847f80c4d29', 'gender': 2, 'id': 32895, 'name': 'Kevin James', 'order': 1}, {'cast_id': 15, 'character': 'Ben the Cow (voice)', 'credit_id': '52fe4545c3a36847f80c4d39', 'gender': 2, 'id': 16431, 'name': 'Sam Elliott', 'order': 2}]","[{'credit_id': '52fe4545c3a36847f80c4d21', 'department': 'Sound', 'gender': 2, 'id': 4500, 'job': 'Original Music Composer', 'name': 'John Debney'}, {'credit_id': '52fe4545c3a36847f80c4cf1', 'department': 'Directing', 'gender': 2, 'id': 4489, 'job': 'Director', 'name': 'Steve Oedekerk'}, {'credit_id': '52fe4545c3a36847f80c4cf7', 'department': 'Production', 'gender': 2, 'id': 4489, 'job': 'Producer', 'name': 'Steve Oedekerk'}]"
Deck the Halls,"[{'cast_id': 20, 'character': 'Buddy Hall', 'credit_id': '52fe4553c3a36847f80c7ff1', 'gender': 2, 'id': 518, 'name': 'Danny DeVito', 'order': 0}, {'cast_id': 21, 'character': 'Steve Finch', 'credit_id': '52fe4553c3a36847f80c7ff5', 'gender': 2, 'id': 4756, 'name': 'Matthew Broderick', 'order': 1}, {'cast_id': 22, 'character': 'Kelly Finch', 'credit_id': '52fe4553c3a36847f80c7ff9', 'gender': 1, 'id': 38025, 'name': 'Kristin Davis', 'order': 2}]","[{'credit_id': '52fe4553c3a36847f80c7f93', 'department': 'Production', 'gender': 2, 'id': 376, 'job': 'Producer', 'name': 'Arnon Milchan'}, {'credit_id': '52fe4553c3a36847f80c7fab', 'department': 'Production', 'gender': 1, 'id': 5362, 'job': 'Casting', 'name': 'Heike Brandstatter'}, {'credit_id': '52fe4553c3a36847f80c7fc9', 'department': 'Production', 'gender': 1, 'id': 5363, 'job': 'Casting', 'name': 'Coreen Mayrs'}]"
The Twilight Saga: New Moon,"[{'cast_id': 54, 'character': ""Isabella 'Bella' Swan"", 'credit_id': '52fe476d9251416c75098db7', 'gender': 1, 'id': 37917, 'name': 'Kristen Stewart', 'order': 0}, {'cast_id': 55, 'character': 'Edward Cullen', 'credit_id': '52fe476d9251416c75098dbb', 'gender': 2, 'id': 11288, 'name': 'Robert Pattinson', 'order': 1}, {'cast_id': 56, 'character': 'Jacob Black', 'credit_id': '52fe476d9251416c75098dbf', 'gender': 2, 'id': 84214, 'name': 'Taylor Lautner', 'order': 2}]","[{'credit_id': '564da1a09251414dcd009ec1', 'department': 'Camera', 'gender': 2, 'id': 403, 'job': 'Director of Photography', 'name': 'Javier Aguirresarobe'}, {'credit_id': '52fe476c9251416c75098d71', 'department': 'Sound', 'gender': 2, 'id': 2949, 'job': 'Original Music Composer', 'name': 'Alexandre Desplat'}, {'credit_id': '52fe476c9251416c75098d47', 'department': 'Directing', 'gender': 0, 'id': 3288, 'job': 'Director', 'name': 'Chris Weitz'}]"
Shrek,"[{'cast_id': 24, 'character': 'Shrek (voice)', 'credit_id': '52fe4279c3a36847f80218a1', 'gender': 2, 'id': 12073, 'name': 'Mike Myers', 'order': 0}, {'cast_id': 25, 'character': 'Donkey (voice)', 'credit_id': '52fe4279c3a36847f80218a5', 'gender': 2, 'id': 776, 'name': 'Eddie Murphy', 'order': 1}, {'cast_id': 26, 'character': 'Princess Fiona (voice)', 'credit_id': '52fe4279c3a36847f80218a9', 'gender': 1, 'id': 6941, 'name': 'Cameron Diaz', 'order': 2}]","[{'credit_id': '52fe4279c3a36847f802182b', 'department': 'Writing', 'gender': 2, 'id': 1705, 'job': 'Author', 'name': 'Ted Elliott'}, {'credit_id': '556b8ca59251416b0a004a2d', 'department': 'Production', 'gender': 2, 'id': 1705, 'job': 'Co-Producer', 'name': 'Ted Elliott'}, {'credit_id': '52fe4279c3a36847f8021831', 'department': 'Writing', 'gender': 2, 'id': 1706, 'job': 'Author', 'name': 'Terry Rossio'}]"
The Adjustment Bureau,"[{'cast_id': 13, 'character': 'David Norris', 'credit_id': '52fe468e9251416c910582cf', 'gender': 2, 'id': 1892, 'name': 'Matt Damon', 'order': 0}, {'cast_id': 5, 'character': 'Elise Sellas', 'credit_id': '52fe468e9251416c910582b7', 'gender': 1, 'id': 5081, 'name': 'Emily Blunt', 'order': 1}, {'cast_id': 7, 'character': 'Richardson', 'credit_id': '52fe468e9251416c910582bb', 'gender': 2, 'id': 21134, 'name': 'John Slattery', 'order': 2}]","[{'credit_id': '52fe468e9251416c9105830f', 'department': 'Sound', 'gender': 2, 'id': 153, 'job': 'Original Music Composer', 'name': 'Thomas Newman'}, {'credit_id': '52fe468e9251416c9105831b', 'department': 'Editing', 'gender': 2, 'id': 330, 'job': 'Editor', 'name': 'Jay Rabinowitz'}, {'credit_id': '52fe468e9251416c910582b3', 'department': 'Writing', 'gender': 2, 'id': 584, 'job': 'Writer', 'name': 'Philip K. Dick'}]"
Robin Hood: Prince of Thieves,"[{'cast_id': 1, 'character': 'Robin Hood', 'credit_id': '52fe44a3c3a36847f80a17d9', 'gender': 2, 'id': 1269, 'name': 'Kevin Costner', 'order': 0}, {'cast_id': 2, 'character': 'Azeem', 'credit_id': '52fe44a3c3a36847f80a17dd', 'gender': 2, 'id': 192, 'name': 'Morgan Freeman', 'order': 1}, {'cast_id': 3, 'character': 'Will Scarlett', 'credit_id': '52fe44a3c3a36847f80a17e1', 'gender': 2, 'id': 2224, 'name': 'Christian Slater', 'order': 2}]","[{'credit_id': '52fe44a3c3a36847f80a17fb', 'department': 'Writing', 'gender': 2, 'id': 2182, 'job': 'Screenplay', 'name': 'Pen Densham'}, {'credit_id': '52fe44a3c3a36847f80a1801', 'department': 'Production', 'gender': 2, 'id': 2182, 'job': 'Producer', 'name': 'Pen Densham'}, {'credit_id': '52fe44a3c3a36847f80a1807', 'department': 'Production', 'gender': 0, 'id': 2184, 'job': 'Producer', 'name': 'Richard Barton Lewis'}]"
Jerry Maguire,"[{'cast_id': 1, 'character': 'Jerry Maguire', 'credit_id': '52fe44f1c3a36847f80b33a9', 'gender': 2, 'id': 500, 'name': 'Tom Cruise', 'order': 0}, {'cast_id': 2, 'character': 'Rod Tidwell', 'credit_id': '52fe44f1c3a36847f80b33ad', 'gender': 2, 'id': 9777, 'name': 'Cuba Gooding Jr.', 'order': 1}, {'cast_id': 3, 'character': 'Dorothy Boyd', 'credit_id': '52fe44f1c3a36847f80b33b1', 'gender': 1, 'id': 9137, 'name': 'Renée Zellweger', 'order': 2}]","[{'credit_id': '52fe44f1c3a36847f80b33c7', 'department': 'Production', 'gender': 2, 'id': 3388, 'job': 'Producer', 'name': 'James L. Brooks'}, {'credit_id': '52fe44f1c3a36847f80b33e5', 'department': 'Camera', 'gender': 2, 'id': 492, 'job': 'Director of Photography', 'name': 'Janusz Kamiński'}, {'credit_id': '52fe44f1c3a36847f80b33eb', 'department': 'Editing', 'gender': 2, 'id': 4186, 'job': 'Editor', 'name': 'Joe Hutshing'}]"
Ted,"[{'cast_id': 10, 'character': 'John Bennett', 'credit_id': '52fe4858c3a368484e0f446d', 'gender': 2, 'id': 13240, 'name': 'Mark Wahlberg', 'order': 0}, {'cast_id': 17, 'character': 'Lori Collins', 'credit_id': '52fe4858c3a368484e0f447d', 'gender': 1, 'id': 18973, 'name': 'Mila Kunis', 'order': 1}, {'cast_id': 9, 'character': 'Ted (voice)', 'credit_id': '52fe4858c3a368484e0f4469', 'gender': 2, 'id': 52139, 'name': 'Seth MacFarlane', 'order': 2}]","[{'credit_id': '52fe4858c3a368484e0f4489', 'department': 'Production', 'gender': 1, 'id': 7494, 'job': 'Casting', 'name': 'Sheila Jaffe'}, {'credit_id': '52fe4858c3a368484e0f4483', 'department': 'Editing', 'gender': 2, 'id': 11876, 'job': 'Editor', 'name': 'Jeff Freeman'}, {'credit_id': '52fe4859c3a368484e0f4525', 'department': 'Costume & Make-Up', 'gender': 1, 'id': 41084, 'job': 'Costume Design', 'name': 'Debra McGuire'}]"
